 values from .184 to 0.350 microns from the CfA database http://cfa-www.harvard.edu/amdata/ampdata/newcfamols.shtml  Updated 1/9/2000
 Absorption Cross-Sections for:  O3 

  47.9982	Molecular Weight of Principal Isotope   

     Wavelength    Cross-Section
     (microns)       (cm**2) 

    2.30619E-01    4.40660E-18
    2.30754E-01    4.50480E-18
    2.30888E-01    4.53370E-18
    2.31023E-01    4.56370E-18
    2.31157E-01    4.62930E-18
    2.31291E-01    4.66330E-18
    2.31426E-01    4.71510E-18
    2.31560E-01    4.77060E-18
    2.31695E-01    4.80990E-18
    2.31829E-01    4.84700E-18
    2.31963E-01    4.92280E-18
    2.32098E-01    4.96310E-18
    2.32232E-01    5.08030E-18
    2.32367E-01    5.06660E-18
    2.32501E-01    5.13290E-18
    2.32635E-01    5.18390E-18
    2.32770E-01    5.24100E-18
    2.32904E-01    5.24700E-18
    2.33039E-01    5.31360E-18
    2.33173E-01    5.39060E-18
    2.33308E-01    5.38110E-18
    2.33442E-01    5.48240E-18
    2.33576E-01    5.49390E-18
    2.33711E-01    5.50890E-18
    2.33845E-01    5.56590E-18
    2.33980E-01    5.58490E-18
    2.34114E-01    5.67960E-18
    2.34248E-01    5.75080E-18
    2.34383E-01    5.76060E-18
    2.34517E-01    5.83710E-18
    2.34652E-01    5.80180E-18
    2.34786E-01    5.92480E-18
    2.34920E-01    6.00160E-18
    2.35055E-01    6.01890E-18
    2.35189E-01    6.06880E-18
    2.35324E-01    6.08080E-18
    2.35458E-01    6.18140E-18
    2.35592E-01    6.20320E-18
    2.35727E-01    6.25150E-18
    2.35861E-01    6.34510E-18
    2.35996E-01    6.43750E-18
    2.36130E-01    6.45530E-18
    2.36265E-01    6.47560E-18
    2.36399E-01    6.56230E-18
    2.36533E-01    6.57930E-18
    2.36668E-01    6.62980E-18
    2.36802E-01    6.67400E-18
    2.36937E-01    6.65170E-18
    2.37071E-01    6.76680E-18
    2.37205E-01    6.78270E-18
    2.37340E-01    6.80500E-18
    2.37474E-01    6.83510E-18
    2.37609E-01    6.97540E-18
    2.37743E-01    6.95340E-18
    2.37877E-01    7.07980E-18
    2.38012E-01    7.15880E-18
    2.38146E-01    7.06880E-18
    2.38281E-01    7.20890E-18
    2.38415E-01    7.15520E-18
    2.38550E-01    7.26240E-18
    2.38684E-01    7.33780E-18
    2.38818E-01    7.35580E-18
    2.38953E-01    7.39580E-18
    2.39087E-01    7.45880E-18
    2.39222E-01    7.45680E-18
    2.39356E-01    7.57280E-18
    2.39490E-01    7.63610E-18
    2.39625E-01    7.74350E-18
    2.39759E-01    7.81150E-18
    2.39894E-01    7.89430E-18
    2.40028E-01    7.93700E-18
    2.40162E-01    7.95850E-18
    2.40297E-01    7.95880E-18
    2.40431E-01    7.98610E-18
    2.40566E-01    8.08250E-18
    2.40700E-01    8.05060E-18
    2.40835E-01    8.11550E-18
    2.40969E-01    8.16230E-18
    2.41103E-01    8.16860E-18
    2.41238E-01    8.30890E-18
    2.41372E-01    8.21200E-18
    2.41507E-01    8.32230E-18
    2.41641E-01    8.49320E-18
    2.41775E-01    8.43100E-18
    2.41910E-01    8.47330E-18
    2.42044E-01    8.57610E-18
    2.42179E-01    8.55610E-18
    2.42313E-01    8.66210E-18
    2.42447E-01    8.76540E-18
    2.42582E-01    8.74960E-18
    2.42716E-01    8.76730E-18
    2.42851E-01    8.86420E-18
    2.42985E-01    8.97500E-18
    2.43120E-01    9.00650E-18
    2.43254E-01    9.00760E-18
    2.43388E-01    9.10760E-18
    2.43523E-01    9.28880E-18
    2.43657E-01    9.22610E-18
    2.43792E-01    9.30030E-18
    2.43926E-01    9.30420E-18
    2.44060E-01    9.47560E-18
    2.44195E-01    9.42400E-18
    2.44329E-01    9.48510E-18
    2.44464E-01    9.45520E-18
    2.44598E-01    9.49620E-18
    2.44732E-01    9.56710E-18
    2.44867E-01    9.54830E-18
    2.45001E-01    9.53280E-18
    2.45136E-01    9.72850E-18
    2.45270E-01    9.62170E-18
    2.45405E-01    9.68980E-18
    2.45539E-01    9.81880E-18
    2.45673E-01    9.93090E-18
    2.45808E-01    9.99590E-18
    2.45942E-01    1.00160E-17
    2.46077E-01    9.91810E-18
    2.46211E-01    1.00090E-17
    2.46345E-01    9.84350E-18
    2.46480E-01    9.99790E-18
    2.46614E-01    1.00580E-17
    2.46749E-01    1.00610E-17
    2.46883E-01    9.99570E-18
    2.47017E-01    1.00060E-17
    2.47152E-01    1.01290E-17
    2.47286E-01    1.02240E-17
    2.47421E-01    1.01830E-17
    2.47555E-01    1.01800E-17
    2.47690E-01    1.02710E-17
    2.47824E-01    1.02810E-17
    2.47958E-01    1.04260E-17
    2.48093E-01    1.03700E-17
    2.48227E-01    1.02870E-17
    2.48362E-01    1.04690E-17
    2.48496E-01    1.05380E-17
    2.48630E-01    1.05240E-17
    2.48765E-01    1.04950E-17
    2.48899E-01    1.05950E-17
    2.49034E-01    1.06310E-17
    2.49168E-01    1.06470E-17
    2.49302E-01    1.07190E-17
    2.49437E-01    1.06530E-17
    2.49571E-01    1.06410E-17
    2.49706E-01    1.07390E-17
    2.49840E-01    1.08910E-17
    2.49974E-01    1.08620E-17
    2.50109E-01    1.10310E-17
    2.50243E-01    1.08800E-17
    2.50378E-01    1.08600E-17
    2.50512E-01    1.08100E-17
    2.50647E-01    1.08030E-17
    2.50781E-01    1.08180E-17
    2.50915E-01    1.07330E-17
    2.51050E-01    1.08350E-17
    2.51184E-01    1.07650E-17
    2.51319E-01    1.08010E-17
    2.51453E-01    1.10290E-17
    2.51587E-01    1.10970E-17
    2.51722E-01    1.11450E-17
    2.51856E-01    1.11620E-17
    2.51991E-01    1.12510E-17
    2.52125E-01    1.13100E-17
    2.52259E-01    1.12590E-17
    2.52394E-01    1.11730E-17
    2.52528E-01    1.10730E-17
    2.52663E-01    1.11670E-17
    2.52797E-01    1.12320E-17
    2.52932E-01    1.10630E-17
    2.53066E-01    1.11670E-17
    2.53200E-01    1.13740E-17
    2.53335E-01    1.12250E-17
    2.53469E-01    1.14200E-17
    2.53604E-01    1.13680E-17
    2.53738E-01    1.14360E-17
    2.53765E-01    1.14810E-17
    2.53777E-01    1.14700E-17
    2.53788E-01    1.14700E-17
    2.53799E-01    1.14800E-17
    2.53810E-01    1.14900E-17
    2.53821E-01    1.14890E-17
    2.53833E-01    1.14890E-17
    2.53844E-01    1.14690E-17
    2.53855E-01    1.14590E-17
    2.53866E-01    1.14780E-17
    2.53878E-01    1.14980E-17
    2.53889E-01    1.14780E-17
    2.53900E-01    1.14570E-17
    2.53911E-01    1.14470E-17
    2.53922E-01    1.14570E-17
    2.53934E-01    1.14870E-17
    2.53945E-01    1.15260E-17
    2.53956E-01    1.15260E-17
    2.53967E-01    1.15460E-17
    2.53979E-01    1.15650E-17
    2.53990E-01    1.15450E-17
    2.54001E-01    1.15050E-17
    2.54012E-01    1.14650E-17
    2.54023E-01    1.14340E-17
    2.54035E-01    1.14240E-17
    2.54046E-01    1.14340E-17
    2.54057E-01    1.14540E-17
    2.54068E-01    1.14530E-17
    2.54080E-01    1.14530E-17
    2.54091E-01    1.14730E-17
    2.54102E-01    1.15020E-17
    2.54113E-01    1.15120E-17
    2.54124E-01    1.14720E-17
    2.54136E-01    1.14220E-17
    2.54147E-01    1.13910E-17
    2.54158E-01    1.14010E-17
    2.54169E-01    1.14210E-17
    2.54181E-01    1.14210E-17
    2.54192E-01    1.14100E-17
    2.54203E-01    1.14000E-17
    2.54214E-01    1.13900E-17
    2.54225E-01    1.13700E-17
    2.54237E-01    1.13590E-17
    2.54248E-01    1.13790E-17
    2.54259E-01    1.13790E-17
    2.54270E-01    1.13680E-17
    2.54282E-01    1.13680E-17
    2.54293E-01    1.13980E-17
    2.54304E-01    1.13980E-17
    2.54315E-01    1.13570E-17
    2.54326E-01    1.13170E-17
    2.54338E-01    1.13170E-17
    2.54349E-01    1.13270E-17
    2.54360E-01    1.13160E-17
    2.54371E-01    1.13160E-17
    2.54383E-01    1.13460E-17
    2.54394E-01    1.13760E-17
    2.54405E-01    1.13950E-17
    2.54416E-01    1.13650E-17
    2.54428E-01    1.13050E-17
    2.54439E-01    1.12450E-17
    2.54450E-01    1.12240E-17
    2.54461E-01    1.12440E-17
    2.54472E-01    1.12440E-17
    2.54484E-01    1.12340E-17
    2.54495E-01    1.12230E-17
    2.54506E-01    1.12230E-17
    2.54517E-01    1.12130E-17
    2.54529E-01    1.11930E-17
    2.54540E-01    1.11920E-17
    2.54551E-01    1.11920E-17
    2.54562E-01    1.11620E-17
    2.54573E-01    1.11220E-17
    2.54585E-01    1.11210E-17
    2.54596E-01    1.11710E-17
    2.54607E-01    1.12010E-17
    2.54618E-01    1.11710E-17
    2.54630E-01    1.11200E-17
    2.54641E-01    1.10700E-17
    2.54652E-01    1.10600E-17
    2.54663E-01    1.10800E-17
    2.54675E-01    1.11290E-17
    2.54686E-01    1.11790E-17
    2.54697E-01    1.11990E-17
    2.54708E-01    1.11790E-17
    2.54719E-01    1.11380E-17
    2.54731E-01    1.11080E-17
    2.54742E-01    1.11280E-17
    2.54753E-01    1.11680E-17
    2.54764E-01    1.12170E-17
    2.54776E-01    1.12370E-17
    2.54787E-01    1.12170E-17
    2.54798E-01    1.12060E-17
    2.54809E-01    1.12160E-17
    2.54821E-01    1.12360E-17
    2.54832E-01    1.12760E-17
    2.54843E-01    1.13150E-17
    2.54854E-01    1.13450E-17
    2.54866E-01    1.13550E-17
    2.54877E-01    1.13640E-17
    2.54888E-01    1.13540E-17
    2.54899E-01    1.13340E-17
    2.54910E-01    1.13140E-17
    2.54922E-01    1.13430E-17
    2.54933E-01    1.14030E-17
    2.54944E-01    1.14430E-17
    2.54955E-01    1.14420E-17
    2.54967E-01    1.14520E-17
    2.54978E-01    1.14920E-17
    2.54989E-01    1.15010E-17
    2.55000E-01    1.14810E-17
    2.55012E-01    1.14610E-17
    2.55023E-01    1.14610E-17
    2.55034E-01    1.14600E-17
    2.55045E-01    1.14800E-17
    2.55057E-01    1.14900E-17
    2.55068E-01    1.15190E-17
    2.55079E-01    1.15590E-17
    2.55090E-01    1.15990E-17
    2.55101E-01    1.16080E-17
    2.55113E-01    1.16080E-17
    2.55123E-01    1.15780E-17
    2.55134E-01    1.15580E-17
    2.55145E-01    1.15480E-17
    2.55157E-01    1.15570E-17
    2.55168E-01    1.16170E-17
    2.55179E-01    1.17060E-17
    2.55190E-01    1.17560E-17
    2.55201E-01    1.17860E-17
    2.55213E-01    1.17750E-17
    2.55224E-01    1.17850E-17
    2.55235E-01    1.18350E-17
    2.55246E-01    1.18540E-17
    2.55257E-01    1.18240E-17
    2.55269E-01    1.18040E-17
    2.55280E-01    1.18140E-17
    2.55291E-01    1.18430E-17
    2.55302E-01    1.18430E-17
    2.55314E-01    1.18330E-17
    2.55325E-01    1.18330E-17
    2.55336E-01    1.18420E-17
    2.55347E-01    1.18720E-17
    2.55358E-01    1.19120E-17
    2.55370E-01    1.19410E-17
    2.55381E-01    1.19210E-17
    2.55392E-01    1.19010E-17
    2.55403E-01    1.18910E-17
    2.55414E-01    1.18600E-17
    2.55426E-01    1.18100E-17
    2.55437E-01    1.17800E-17
    2.55448E-01    1.18000E-17
    2.55459E-01    1.18200E-17
    2.55470E-01    1.18290E-17
    2.55482E-01    1.18190E-17
    2.55493E-01    1.17990E-17
    2.55504E-01    1.17890E-17
    2.55515E-01    1.17980E-17
    2.55526E-01    1.18380E-17
    2.55538E-01    1.18480E-17
    2.55549E-01    1.18180E-17
    2.55560E-01    1.17570E-17
    2.55571E-01    1.17270E-17
    2.55583E-01    1.17270E-17
    2.55594E-01    1.17370E-17
    2.55605E-01    1.17460E-17
    2.55616E-01    1.17560E-17
    2.55627E-01    1.17560E-17
    2.55639E-01    1.17460E-17
    2.55650E-01    1.17360E-17
    2.55661E-01    1.17350E-17
    2.55672E-01    1.17450E-17
    2.55683E-01    1.17450E-17
    2.55695E-01    1.17250E-17
    2.55706E-01    1.17040E-17
    2.55717E-01    1.16840E-17
    2.55728E-01    1.16540E-17
    2.55740E-01    1.16340E-17
    2.55751E-01    1.16340E-17
    2.55762E-01    1.16330E-17
    2.55773E-01    1.16330E-17
    2.55784E-01    1.16530E-17
    2.55796E-01    1.16720E-17
    2.55807E-01    1.16620E-17
    2.55818E-01    1.16420E-17
    2.55829E-01    1.15920E-17
    2.55840E-01    1.15520E-17
    2.55852E-01    1.15420E-17
    2.55863E-01    1.15420E-17
    2.55874E-01    1.15210E-17
    2.55885E-01    1.15110E-17
    2.55896E-01    1.15310E-17
    2.55908E-01    1.15410E-17
    2.55919E-01    1.15200E-17
    2.55930E-01    1.15200E-17
    2.55941E-01    1.15600E-17
    2.55953E-01    1.15790E-17
    2.55964E-01    1.15390E-17
    2.55975E-01    1.14790E-17
    2.55986E-01    1.14390E-17
    2.55997E-01    1.14290E-17
    2.56009E-01    1.14590E-17
    2.56020E-01    1.14880E-17
    2.56031E-01    1.14880E-17
    2.56042E-01    1.14680E-17
    2.56053E-01    1.14680E-17
    2.56065E-01    1.14670E-17
    2.56076E-01    1.14370E-17
    2.56087E-01    1.14170E-17
    2.56098E-01    1.13970E-17
    2.56110E-01    1.13970E-17
    2.56121E-01    1.13970E-17
    2.56132E-01    1.13860E-17
    2.56143E-01    1.13560E-17
    2.56154E-01    1.13360E-17
    2.56166E-01    1.13060E-17
    2.56177E-01    1.12960E-17
    2.56188E-01    1.13060E-17
    2.56199E-01    1.13350E-17
    2.56210E-01    1.13350E-17
    2.56222E-01    1.13350E-17
    2.56233E-01    1.13250E-17
    2.56244E-01    1.13140E-17
    2.56255E-01    1.13040E-17
    2.56267E-01    1.13040E-17
    2.56278E-01    1.13240E-17
    2.56289E-01    1.13330E-17
    2.56300E-01    1.13130E-17
    2.56311E-01    1.12730E-17
    2.56323E-01    1.12230E-17
    2.56334E-01    1.11930E-17
    2.56345E-01    1.12030E-17
    2.56356E-01    1.12520E-17
    2.56367E-01    1.12520E-17
    2.56379E-01    1.12020E-17
    2.56390E-01    1.11720E-17
    2.56401E-01    1.12020E-17
    2.56412E-01    1.12110E-17
    2.56424E-01    1.12010E-17
    2.56435E-01    1.11910E-17
    2.56446E-01    1.11810E-17
    2.56457E-01    1.11610E-17
    2.56468E-01    1.11310E-17
    2.56480E-01    1.11300E-17
    2.56491E-01    1.11300E-17
    2.56502E-01    1.11200E-17
    2.56513E-01    1.11000E-17
    2.56524E-01    1.11000E-17
    2.56536E-01    1.11000E-17
    2.56547E-01    1.10690E-17
    2.56558E-01    1.10290E-17
    2.56569E-01    1.10090E-17
    2.56581E-01    1.09990E-17
    2.56592E-01    1.09890E-17
    2.56603E-01    1.10090E-17
    2.56614E-01    1.10580E-17
    2.56625E-01    1.10880E-17
    2.56637E-01    1.10780E-17
    2.56648E-01    1.10480E-17
    2.56659E-01    1.10270E-17
    2.56670E-01    1.10470E-17
    2.56681E-01    1.10570E-17
    2.56693E-01    1.10470E-17
    2.56704E-01    1.10070E-17
    2.56715E-01    1.09770E-17
    2.56726E-01    1.09760E-17
